Opponent,Results,Score,PlusMinus
Louisiana College,W, 88_54 ,-
Wake Forest,L, 103_81 ,-14.5
Western Michigan,W, 85_75 ,3.7
Mississippi St.,L, 61_54 ,1.3
Southeastern Louisiana,L, 72_56 ,-8.2
Northwestern St.,L, 79_67 ,-5.6
New Mexico,L, 78_77 ,-7.3
New Mexico St.,L, 79_68 ,-11.8
Northern Arizona,L, 76_74 ,-0
Maryland Eastern Shore,L, 71_66 ,-2.6
UC Irvine,L, 62_57 ,-1.8
New Mexico St.,L, 79_70 ,-4.6
UTSA,L, 67_55 ,-3.6
Louisiana Tech,L, 64_44 ,-6.5
Southern Miss,L, 73_65 ,-5.3
FIU,W, 88_87 2OT,0.9
Florida Atlantic,W, 66_65 OT,3.6
UTSA,W, 59_39 ,13.2
Western Kentucky,L, 65_62 ,-10.8
Marshall,W, 91_68 ,9
UAB,W, 63_59 ,-1.8
Middle Tennessee,W, 57_54 ,-6.1
Louisiana Tech,L, 62_61 ,1.4
Southern Miss,W, 80_50 ,8.7
North Texas,W, 77_71 OT,-2.2
Rice,W, 79_71 ,7.8
Florida Atlantic,W, 60_55 ,1.8
FIU,W, 90_76 ,7.2
Old Dominion,L, 62_61 ,-0.8
Charlotte,W, 74_67 ,5.6
Rice,W, 86_76 ,12.2
Middle Tennessee,L, 82_56 ,-11.5
