Opponent,Results,Score,PlusMinus
Marquette,L, 95_71 ,-5.8
Belmont,W, 80_66 ,8.7
Norfolk St.,W, 75_52 ,7.6
Bucknell,L, 75_72 ,2.2
Butler,L, 76_66 ,-3.9
Santa Clara,W, 76_66 ,8.1
Tennessee St.,W, 83_59 ,12.7
Minnesota,L, 56_52 ,0.4
High Point,W, 90_63 ,8.9
Middle Tennessee,L, 71_48 ,-7.7
Chattanooga,W, 76_74 ,-2.3
Dayton,L, 68_63 ,-4.1
LSU,W, 96_89 ,7.5
Auburn,W, 80_61 ,16.4
Alabama,L, 59_56 ,0.7
Kentucky,L, 87_81 ,-3.3
Tennessee,L, 87_75 ,-3.9
Georgia,L, 76_68 ,-7.4
Florida,W, 68_66 ,0.4
Arkansas,L, 71_70 ,4.1
Iowa St.,W, 84_78 ,2.4
Texas A&M,W, 68_54 ,12.6
Mississippi,L, 81_74 ,-0.1
Arkansas,W, 72_59 ,17
Missouri,L, 72_52 ,-3.5
Texas A&M,W, 72_67 ,-0.5
South Carolina,W, 71_62 ,-0.7
Tennessee,W, 67_56 ,7.8
Mississippi St.,W, 77_48 ,11.5
Kentucky,L, 73_67 ,6.2
Florida,W, 73_71 ,-3.3
Texas A&M,W, 66_41 ,5.6
Florida,W, 72_62 OT,2
Arkansas,L, 76_62 ,-7.1
Northwestern,L, 68_66 ,-5.1
