Opponent,Results,Score,PlusMinus
Montana St.,W, 69_65 ,9.8
Central Washington,W, 81_76 ,-
Creighton,L, 103_77 ,-17.8
Montana,W, 87_63 ,15.1
Loyola Chicago,L, 88_79 ,-7.3
San Jose St.,L, 88_76 ,-4.9
Utah Valley,W, 83_76 ,8.7
New Orleans,L, 70_54 ,-6.5
Idaho,W, 61_48 ,11.6
Kansas St.,L, 70_56 ,-2.7
Santa Clara,W, 69_68 ,-1.4
Sacramento St.,W, 74_66 ,4.2
Washington,W, 79_74 ,-2.6
Oregon St.,W, 75_62 ,2.8
Oregon,L, 85_66 ,-2
Stanford,L, 84_54 ,-19.4
California,L, 58_54 ,0.9
Utah,L, 88_47 ,-14.2
Colorado,W, 91_89 OT,2.1
Arizona,L, 79_62 ,-4.8
Arizona St.,W, 91_83 ,3.4
UCLA,L, 95_79 ,-5.5
USC,L, 86_77 ,-1.9
Utah,L, 74_70 ,-1.4
Colorado,L, 81_49 ,-10.6
Arizona,L, 78_59 ,-7
Arizona St.,W, 86_71 ,-0.2
Washington,W, 79_71 ,-0
USC,L, 87_64 ,-17.3
UCLA,L, 77_68 ,-4.1
Colorado,L, 73_63 ,5.8
