Opponent,Results,Score,PlusMinus
Mount St. Mary's,W, 87_59 ,14.3
Mississippi Valley St.,W, 107_66 ,26.5
New Hampshire,W, 100_41 ,18.4
Illinois,W, 89_57 ,16.2
Temple,L, 81_77 ,-6.9
Manhattan,W, 108_61 ,21.4
Virginia,W, 66_57 ,-2.3
Western Carolina,W, 90_37 ,25.3
VMI,W, 90_55 ,11
UMKC,W, 112_67 ,23.9
Radford,W, 84_57 ,18
Northern Kentucky,W, 92_61 ,6.1
Oklahoma St.,W, 92_75 ,10.6
Texas Tech,L, 77_76 OT,-0.2
TCU,W, 82_70 ,5.6
Baylor,W, 89_68 ,8.2
Texas,W, 74_72 ,-0.5
Oklahoma,L, 89_87 OT,1.2
Kansas St.,L, 79_75 ,-0.5
Kansas,W, 85_69 ,2.8
Texas A&M,W, 81_77 ,8.2
Iowa St.,W, 85_72 ,5.4
Oklahoma St.,L, 82_75 ,-1.2
Oklahoma,W, 61_50 ,1
Kansas St.,W, 85_66 ,3.5
Kansas,L, 84_80 OT,5
Texas Tech,W, 83_74 2OT,1.6
Texas,W, 77_62 ,8.3
TCU,W, 61_60 ,2
Baylor,L, 71_62 ,-0.6
Iowa St.,W, 87_76 ,4.8
Texas,W, 63_53 ,6
Kansas St.,W, 51_50 ,-4.9
Iowa St.,L, 80_74 ,-3.4
Bucknell,W, 86_80 ,5.6
Notre Dame,W, 83_71 ,7.3
Gonzaga,L, 61_58 ,-2.4
