Opponent,Results,Score,PlusMinus
Miami FL,L, 92_43 ,-18.9
Hiwassee College,W, 87_47 ,-
North Carolina Central,L, 67_59 ,-3.1
Marshall,L, 98_63 ,-10.4
Ohio St.,L, 66_38 ,-12.3
Jackson St.,W, 58_47 ,7.4
Marquette,L, 90_44 ,-25.1
Appalachian St.,W, 58_53 ,0
West Virginia,L, 90_37 ,-25.3
UNC Asheville,L, 59_57 ,0
High Point,W, 70_65 ,4.9
College of Charleston,L, 77_59 ,-8.1
Mars Hill,W, 87_71 ,-
Chattanooga,L, 64_48 ,-4.9
Samford,L, 70_65 ,-3.3
UNC Greensboro,L, 76_57 ,-9.6
VMI,L, 79_78 ,-1
East Tennessee St.,L, 75_52 ,-16.5
The Citadel,W, 100_95 ,-1.3
Mercer,L, 70_50 ,-12.8
Furman,L, 85_37 ,-19.5
Wofford,W, 68_62 ,2.5
Mercer,L, 62_47 ,-6.5
Samford,L, 82_63 ,-6.9
Chattanooga,L, 77_65 ,-5
UNC Greensboro,L, 76_68 ,-0.7
Furman,L, 74_62 ,-4.8
Wofford,L, 84_56 ,-11.2
The Citadel,W, 84_80 ,10.1
East Tennessee St.,L, 68_52 ,-13.8
VMI,W, 81_68 ,1.7
The Citadel,L, 78_72 ,0.3
