Opponent,Results,Score,PlusMinus
Dayton,L, 78_77 ,-3.2
Oklahoma,L, 108_69 ,-21
Stony Brook,W, 87_76 ,-1.8
Oregon,L, 95_71 ,-8.3
Bucknell,L, 87_83 ,1.7
Indiana St.,W, 93_85 ,8.9
Oakland City,W, 81_57 ,-
IUPUI,W, 83_64 ,14.2
Notre Dame,W, 80_77 ,2.2
Valparaiso,W, 71_70 ,-0.5
North Florida,W, 79_65 ,7.6
Jackson St.,W, 70_54 ,6.9
Florida A&M,W, 75_54 ,5.4
Eastern Michigan,W, 72_62 ,-1.7
Buffalo,L, 83_63 ,-11.1
Ohio,W, 75_68 ,0.5
Western Michigan,L, 73_58 ,-13.3
Central Michigan,W, 82_76 ,4.8
Miami OH,L, 71_53 ,-7.3
Kent St.,L, 88_80 OT,-3.1
Akron,W, 111_106 2OT,0.4
Toledo,W, 75_63 ,9.1
Eastern Michigan,L, 58_41 ,-5
Bowling Green,W, 59_56 ,-1.7
Kent St.,W, 87_68 ,9.9
Akron,W, 90_77 ,0.3
Toledo,W, 99_71 ,13.2
Northern Illinois,W, 77_68 ,7.1
Western Michigan,L, 87_80 ,3.2
Central Michigan,L, 75_51 ,-7.5
Northern Illinois,L, 66_65 ,0.2
Kent St.,L, 76_73 ,-3.2
