Opponent,Results,Score,PlusMinus
Iowa,L, 95_62 ,-18.2
Purdue,L, 111_42 ,-26.1
Silver Lake,W, 101_53 ,-
Notre Dame,L, 105_66 ,-19
Northern Iowa,L, 82_44 ,-18.1
East-West U.,W, 113_65 ,-
UMBC,L, 84_73 ,-6.1
Presbyterian,L, 75_73 ,-2.2
Drake,L, 79_67 ,1
Marquette,L, 95_69 ,-10
Northern Illinois,L, 95_77 ,-13.5
Oakland,L, 82_50 ,-14.4
Northwestern,L, 96_31 ,-34.3
Bradley,L, 84_58 ,-12.8
SIU Edwardsville,L, 88_76 ,-4.9
Wisconsin,L, 82_70 ,-12.1
Western Michigan,L, 92_71 ,-16.5
New Mexico St.,L, 97_60 ,-5.7
Seattle,L, 67_64 ,-1
Utah Valley,L, 83_58 ,-10.1
Grand Canyon,L, 86_58 ,-15
Cal St. Bakersfield,L, 89_78 ,-3.8
UT Rio Grande Valley,L, 87_81 ,-1.5
Cal St. Bakersfield,L, 91_61 ,-12.1
Grand Canyon,L, 89_55 ,-11.7
Utah Valley,L, 97_57 ,-20.6
Seattle,L, 91_81 ,-16.6
UMKC,L, 76_67 ,-5.4
New Mexico St.,L, 78_67 ,-5.4
UT Rio Grande Valley,L, 83_75 ,-4.5
UMKC,W, 96_82 ,4.9
New Mexico St.,L, 97_70 ,-13.1
