Opponent,Results,Score,PlusMinus
Northern Kentucky,L, 81_63 ,-10.6
Savannah St.,W, 76_61 ,7
Kentucky,L, 78_61 ,-5.4
Delaware St.,W, 81_57 ,4.6
Troy,L, 73_65 ,-6.7
Fort Wayne,W, 83_73 ,4.5
Fordham,W, 82_77 ,2.3
Northern Kentucky,W, 84_71 ,10.9
Hiwassee College,W, 94_48 ,-
Xavier,L, 68_66 ,6.3
Detroit,W, 81_73 ,3.3
Georgia Southern,W, 79_59 ,10.1
Tusculum,W, 84_65 ,-
Mercer,W, 74_55 ,5.1
Samford,W, 90_72 ,9.1
Chattanooga,W, 85_66 ,16.8
UNC Greensboro,W, 68_58 ,2.2
VMI,W, 89_48 ,12.2
Furman,W, 62_61 ,2.8
Western Carolina,W, 66_50 ,10.4
Mercer,W, 84_75 ,3.3
Wofford,W, 75_62 ,5
The Citadel,W, 73_71 ,-0.2
Samford,W, 96_76 ,13.3
Chattanooga,W, 81_61 ,9.3
VMI,W, 70_56 ,2.3
UNC Greensboro,L, 74_56 ,-8.5
Western Carolina,W, 72_61 ,12.2
The Citadel,L, 84_82 ,1
Wofford,L, 75_71 ,-0.9
Furman,L, 79_76 ,-1.3
Chattanooga,W, 77_59 ,7.3
Furman,W, 63_52 ,11.1
UNC Greensboro,L, 62_47 ,-2.8
