Opponent,Results,Score,PlusMinus
Florida Memorial,W, 70_47 ,-
Stetson,L, 70_64 OT,-0.2
Elon,L, 95_87 3OT,3.8
Milwaukee,L, 66_51 ,-7.5
Concordia-St. Paul,W, 77_67 ,-
South Carolina,L, 78_61 ,-8.8
Florida National,W, 79_61 ,-
South Alabama,W, 87_58 ,13.2
South Florida,W, 65_53 ,4.3
North Florida,L, 87_85 ,0.7
James Madison,L, 76_67 ,-2.9
Florida Gulf Coast,W, 91_88 ,0.4
Hartford,L, 79_72 ,-1.6
Florida Atlantic,W, 58_57 ,2.8
Middle Tennessee,L, 71_66 OT,1.6
UAB,L, 75_64 ,-13.8
UTSA,W, 79_76 ,6.8
UTEP,L, 72_68 ,-6.2
Old Dominion,L, 64_54 ,-3
Charlotte,W, 79_59 ,11.9
Rice,L, 73_64 ,-1.8
North Texas,L, 69_67 OT,3.2
Southern Miss,W, 76_70 ,3.6
Louisiana Tech,W, 71_68 ,-1
Marshall,L, 76_66 ,-6.5
Western Kentucky,L, 83_76 ,-1.6
Florida Atlantic,L, 77_72 ,0.5
North Texas,W, 69_68 ,5.7
Rice,W, 67_64 ,-4.8
Charlotte,W, 89_83 ,4.4
Old Dominion,L, 79_53 ,-8.8
Southern Miss,L, 69_68 ,-3.9
