Opponent,Results,Score,PlusMinus
South Florida,L, 60_59 ,-3.5
Edward Waters,W, 91_59 ,-
Towson,L, 76_52 ,-9.8
Northern Illinois,W, 77_67 ,1.6
Missouri St.,L, 71_60 ,-8.3
Ave Maria,W, 91_54 ,-
Bethune Cookman,W, 93_75 ,13.4
Florida Gulf Coast,W, 92_88 ,-2.2
Webber International,W, 108_46 ,-
Arkansas St.,L, 64_63 ,-3.4
Texas Tech,L, 90_54 ,-7.7
Minnesota,L, 95_60 ,-18.9
FIU,L, 58_57 ,-2.8
UAB,L, 75_44 ,-10.1
Middle Tennessee,L, 61_57 ,1.1
UTEP,W, 73_66 ,-0.6
UTSA,W, 73_69 ,1.6
Charlotte,W, 75_64 ,7.1
Old Dominion,L, 73_62 ,-6.8
North Texas,L, 59_53 ,-3.3
Rice,W, 63_62 ,1.7
Louisiana Tech,L, 67_62 ,1.6
Southern Miss,L, 77_66 ,-8.7
Western Kentucky,L, 75_63 ,-1.9
Marshall,L, 79_68 ,-3.2
FIU,W, 77_72 ,-0.5
Rice,L, 79_76 OT,-6
North Texas,W, 74_54 ,6.6
Old Dominion,L, 69_64 ,-6.7
Charlotte,L, 85_78 ,-1.1
UAB,L, 83_72 ,-10.1
