Opponent,Results,Score,PlusMinus
Oakland,L, 85_71 ,-11.5
Defiance,W, 114_59 ,-
Delaware St.,W, 85_71 ,4.3
Illinois Chicago,W, 67_51 ,1.2
Kentucky,L, 86_67 ,-7.1
East Tennessee St.,L, 83_73 ,-4.5
Detroit,W, 91_82 ,4.6
Ind.-Kokomo,W, 99_63 ,-
SIU Edwardsville,W, 86_71 ,7.8
Akron,L, 83_79 ,-4
Miami OH,L, 81_73 ,-5.4
Stetson,W, 88_84 ,1.8
Indiana,W, 92_72 ,3.4
Liberty,W, 75_64 ,10.5
Louisiana Tech,L, 85_76 ,-4.9
Olivet,W, 99_93 ,-
Concordia (MI),W, 92_59 ,-
Oral Roberts,L, 76_60 ,-7.1
Denver,W, 82_63 ,10.1
South Dakota,L, 68_58 ,-4.4
Nebraska Omaha,W, 82_78 ,2.9
Western Illinois,L, 75_74 OT,4.9
North Dakota St.,W, 92_88 ,-4.5
South Dakota St.,L, 78_76 ,-7.2
Oral Roberts,W, 85_75 ,4.7
Denver,W, 91_63 ,10.5
South Dakota,L, 86_69 ,-16.6
Nebraska Omaha,L, 90_85 ,4.8
Western Illinois,W, 90_74 ,11.6
North Dakota St.,W, 84_72 ,6.5
South Dakota St.,L, 97_90 ,-6.9
North Dakota St.,L, 86_82 ,-11.1
Central Michigan,L, 94_89 ,-2.1
