Opponent,Results,Score,PlusMinus
Jacksonville,W, 73_57 ,12.2
Mount St. Mary's,W, 102_68 ,14.9
Maryland Eastern Shore,W, 83_57 ,18
Richmond,W, 82_76 ,1.3
Maine,W, 76_55 ,12.4
Coppin St.,W, 76_60 ,8.2
Howard,W, 81_67 ,11.3
North Carolina A&T,W, 83_74 ,11.7
Syracuse,L, 86_79 OT,3.2
North Texas,W, 75_63 ,1.4
Alabama A&M,W, 89_49 ,15.2
Butler,L, 91_89 2OT,7.7
Marquette,L, 74_65 ,-6.9
DePaul,W, 90_81 ,5.8
Creighton,L, 90_66 ,-16.2
St. John's,W, 69_66 ,1.1
Seton Hall,L, 74_61 ,-5
Villanova,L, 88_56 ,-19.9
St. John's,W, 93_89 2OT,-0.4
DePaul,L, 74_73 ,-3.7
Creighton,L, 85_77 ,-5.3
Xavier,L, 96_91 OT,-0.6
Providence,L, 73_69 ,2.5
Seton Hall,W, 83_80 ,5.5
Butler,W, 87_83 ,6.6
Xavier,L, 89_77 ,-1.9
Providence,L, 74_69 ,-0.1
Marquette,L, 90_86 OT,0.6
Villanova,L, 97_73 ,-8.9
St. John's,L, 88_77 ,0.6
