Opponent,Results,Score,PlusMinus
UCLA,L, 63_60 ,-4.5
Bethune Cookman,W, 65_62 ,5
UT Rio Grande Valley,W, 78_68 ,7.9
North Texas,W, 63_49 ,5
Northwestern,W, 52_51 ,4.2
Grambling St.,L, 64_63 ,-4.7
Tennessee,L, 77_70 ,-3.6
Wofford,L, 63_60 ,3.9
Florida A&M,W, 79_54 ,13.1
Georgia,L, 80_59 ,-5.6
Wright St.,L, 85_81 ,2.2
Coppin St.,W, 76_62 ,0.4
Notre Dame,L, 68_59 ,-1.4
Miami FL,W, 64_54 ,1
Yale,W, 74_60 ,5.9
Notre Dame,W, 60_53 ,4.2
Pittsburgh,W, 69_54 ,12.8
Virginia,L, 64_48 ,-8.1
North Carolina,L, 80_66 ,-4.7
Florida St.,L, 88_77 ,-6.4
Clemson,L, 72_70 ,1.3
Syracuse,W, 55_51 ,4.9
Boston College,L, 80_72 OT,3
Louisville,L, 77_54 ,-11.5
Duke,L, 80_69 ,-14.9
Wake Forest,L, 79_62 ,-7.9
Virginia Tech,L, 76_56 ,-11.4
Virginia,L, 65_54 ,-3.6
Clemson,L, 75_67 ,0.8
North Carolina St.,W, 78_75 ,-3.3
Wake Forest,W, 64_56 ,0
Boston College,L, 87_77 ,-9.6
