Opponent,Results,Score,PlusMinus
Southern,W, 102_55 ,18.8
Tennessee Martin,W, 77_74 ,7.4
DePaul,W, 82_73 ,2.8
Marshall,W, 91_74 ,8.9
Augustana (IL),W, 96_62 ,-
North Carolina Central,W, 86_73 ,8.4
Wake Forest,L, 80_73 ,-1
Northwestern,L, 72_68 OT,1.6
Maryland,L, 92_91 OT,-8.3
Austin Peay,W, 64_57 ,-0.3
UNLV,L, 89_82 ,-4.6
Longwood,W, 92_45 ,18.7
New Mexico St.,L, 74_69 ,-4.2
Missouri,W, 70_64 ,9.9
Grand Canyon,W, 62_58 ,-0.3
Minnesota,L, 77_67 ,-10.8
Michigan,L, 79_69 ,-2.3
Iowa,L, 104_97 OT,5.9
Nebraska,L, 64_63 ,-2.1
Wisconsin,L, 75_50 ,-10.5
Michigan St.,L, 87_74 ,-7.6
Indiana,W, 73_71 ,-2.7
Rutgers,W, 91_60 ,15.5
Ohio St.,L, 75_67 ,1.2
Wisconsin,L, 78_69 ,-2.6
Penn St.,L, 74_52 ,-2.6
Indiana,L, 78_68 ,-5.2
Nebraska,W, 72_66 ,2.5
Michigan St.,L, 81_61 ,-7.7
Purdue,L, 93_86 ,-4.3
Rutgers,W, 75_62 ,3.8
Iowa,L, 96_87 ,-6.6
