Opponent,Results,Score,PlusMinus
Southwestern Texas,W, 87_71 ,-
Trinity (TX),W, 93_57 ,-
McMurry,W, 88_49 ,-
Loyola Marymount,L, 91_87 ,4.3
Houston,L, 97_58 ,-10.8
Gonzaga,L, 103_68 ,-20.9
Texas Lutheran,W, 91_63 ,-
UMKC,W, 77_73 ,3.3
UTEP,L, 72_66 ,0.5
Florida,L, 75_60 ,-7.1
McNeese St.,L, 85_62 ,-11.6
Nicholls St.,L, 77_60 ,-11.4
Sam Houston St.,L, 85_74 ,1.1
Central Arkansas,L, 92_76 ,-12.7
Stephen F. Austin,L, 83_63 ,-7
Lamar,L, 90_69 ,-9.7
New Orleans,L, 74_70 ,2.1
Houston Baptist,L, 102_86 ,-6
New Orleans,L, 68_58 ,-2.4
Texas A&M Corpus Chris,L, 56_51 ,2.2
Southeastern Louisiana,L, 86_68 ,-5.9
Abilene Christian,L, 80_69 ,-10.1
Lamar,L, 85_62 ,-11
Stephen F. Austin,L, 81_70 ,-9.2
Northwestern St.,L, 66_54 ,-2.8
Texas A&M Corpus Chris,W, 69_62 ,8.4
Houston Baptist,W, 83_71 ,1.1
Abilene Christian,L, 69_59 ,-3.8
