Opponent,Results,Score,PlusMinus
Tennessee St.,W, 92_56 ,24.3
Kentucky,W, 65_61 ,2.7
South Dakota St.,W, 98_64 ,19.3
Texas Southern,W, 114_71 ,21
Oakland,W, 102_59 ,20.5
Toledo,W, 96_58 ,20.9
Syracuse,W, 76_60 ,8.3
Washington,L, 74_65 ,-3.3
Arizona St.,L, 95_85 ,0.5
Nebraska,W, 73_72 ,3
Nebraska Omaha,W, 109_64 ,16.8
Stanford,W, 75_54 ,13.3
Texas,W, 92_86 ,4.9
Texas Tech,L, 85_73 ,-8.6
TCU,W, 88_84 ,6.6
Iowa St.,W, 83_78 ,3.4
Kansas St.,W, 73_72 ,2.5
West Virginia,W, 71_66 ,-7
Baylor,W, 70_67 ,6.5
Oklahoma,L, 85_80 ,0.8
Texas A&M,W, 79_68 ,11.5
Kansas St.,W, 70_56 ,9
Oklahoma St.,L, 84_79 ,-8.5
TCU,W, 71_64 ,0.3
Baylor,L, 80_64 ,-4.9
Iowa St.,W, 83_77 ,3.8
West Virginia,W, 77_69 ,-3.4
Oklahoma,W, 104_74 ,12.7
Texas Tech,W, 74_72 ,4.4
Texas,W, 80_70 ,8.7
Oklahoma St.,L, 82_64 ,-11.2
Oklahoma St.,W, 82_68 ,3.7
Kansas St.,W, 83_67 ,7.1
West Virginia,W, 81_70 ,-0.5
Penn,W, 76_60 ,2.7
Seton Hall,W, 83_79 ,5.3
Clemson,W, 80_76 ,9.9
Duke,W, 85_81 OT,0.2
Villanova,L, 95_79 ,-14.4
