Opponent,Results,Score,PlusMinus
Western Kentucky,W, 85_80 ,9.4
Southern,W, 86_58 ,16.8
North Dakota St.,L, 57_54 ,-1
Georgia Southern,L, 74_73 ,-5.8
Manhattan,W, 69_65 ,-2.6
Florida Atlantic,W, 71_60 ,8.3
Evangel,W, 80_48 ,-
Colorado St.,W, 77_67 ,11.2
South Dakota St.,W, 73_53 ,9.5
North Dakota St.,W, 71_58 ,1.6
Hampton,W, 88_75 ,9
Oral Roberts,L, 73_66 ,0.9
Wright St.,W, 66_50 ,9.8
Loyola Chicago,W, 64_59 ,3.9
Valparaiso,W, 67_50 ,12.2
Northern Iowa,W, 62_55 ,6.8
Illinois St.,L, 72_68 ,-3.2
Evansville,L, 64_55 ,-6
Indiana St.,W, 76_73 ,4.8
Valparaiso,W, 64_57 ,-0.5
Drake,L, 61_58 ,1.9
Bradley,L, 72_52 ,-8.4
Southern Illinois,L, 79_77 ,-6.1
Illinois St.,L, 76_60 ,-10.2
Loyola Chicago,L, 97_75 ,-10.5
Indiana St.,W, 81_62 ,9.7
Evansville,W, 72_55 ,9.7
Southern Illinois,L, 81_80 OT,1.6
Drake,L, 67_63 ,-5.5
Bradley,L, 82_78 ,0.7
Northern Iowa,L, 71_56 ,-6.7
Valparaiso,W, 83_79 ,6.6
Southern Illinois,L, 67_63 ,-1.7
