Opponent,Results,Score,PlusMinus
Northern New Mexico,W, 147_76 ,-
Nebraska Omaha,W, 103_71 ,5.7
New Mexico St.,L, 75_56 ,-3.4
Tennessee Tech,L, 104_96 ,3
TCU,L, 69_67 ,-3.5
Maryland,L, 80_65 ,-17.1
Evansville,W, 78_59 ,7.7
UTEP,L, 88_76 ,-8.7
Colorado,L, 75_57 ,-5.9
New Mexico St.,L, 65_62 ,0.7
Arizona,L, 89_73 ,-11.1
Rice,W, 78_69 ,5.5
Prairie View A&M,W, 87_78 ,6.1
Air Force,W, 87_58 ,12.2
Nevada,L, 77_74 ,-5.6
Boise St.,L, 90_62 ,-21.5
San Jose St.,W, 80_47 ,12.6
Wyoming,W, 75_66 ,2.3
Fresno St.,L, 89_80 ,-4.9
UNLV,W, 85_81 ,0.1
San Diego St.,W, 79_75 ,-5.4
Colorado St.,W, 80_65 ,8.3
Utah St.,L, 89_80 ,-6.7
San Jose St.,W, 71_68 ,3
Boise St.,L, 73_71 ,6
Air Force,L, 100_92 ,1.3
Utah St.,W, 78_63 ,0.7
Wyoming,W, 119_114 ,5.5
UNLV,W, 91_90 ,3.2
Colorado St.,W, 108_87 ,19.6
Fresno St.,W, 95_86 OT,5.1
Wyoming,W, 85_75 ,6.1
Utah St.,W, 83_68 ,8.8
San Diego St.,L, 82_75 ,-0.6
