Opponent,Results,Score,PlusMinus
Colorado,L, 66_51 ,-5.6
UC Davis,L, 74_59 ,1.2
Pepperdine,W, 84_82 ,3.9
Northern New Mexico,W, 97_62 ,-
Youngstown St.,W, 80_67 ,7.7
South Dakota,W, 63_62 ,-1.7
Southern Miss,W, 77_63 ,2.9
UC Davis,L, 56_51 ,0.7
Western St.,W, 87_75 ,-
Oklahoma Panhandle,W, 104_53 ,-
Denver,W, 83_63 ,13.7
Wyoming,W, 91_84 ,4.8
UNLV,L, 94_91 ,-0.5
Eastern Washington,W, 88_75 ,9.3
Idaho,W, 81_77 ,2.4
Montana St.,L, 76_64 ,-5.2
Montana,L, 89_80 ,-7.8
Weber St.,L, 78_74 ,3.2
Idaho St.,W, 94_80 ,6.9
North Dakota,W, 94_91 OT,3.5
Idaho,W, 80_63 ,11.4
Eastern Washington,L, 67_65 ,-1.1
Montana,L, 88_79 ,-7.2
Montana St.,W, 86_63 ,7.3
Idaho St.,W, 85_82 ,-2.6
Weber St.,L, 71_66 OT,3.2
Northern Arizona,W, 95_60 ,11.5
Southern Utah,W, 97_80 ,5.6
North Dakota,W, 79_66 ,10.8
Portland St.,W, 85_78 ,5.6
Sacramento St.,L, 88_77 ,-8
Northern Arizona,W, 82_59 ,9.7
Weber St.,W, 80_55 ,13
Montana,L, 91_89 OT,1.6
Drake,W, 81_72 ,5.7
San Diego,W, 86_75 ,-0.1
Sam Houston St.,W, 99_80 ,7.7
Illinois Chicago,W, 76_71 ,5.4
