Opponent,Results,Score,PlusMinus
Wisconsin,L, 85_50 ,-11.1
Boston College,L, 91_52 ,-20.5
Yale,L, 86_54 ,-22.5
UCLA,L, 96_68 ,-6.4
Central Arkansas,L, 73_64 ,-2.1
Winthrop,L, 86_61 ,-9.5
Morris,W, 100_91 ,-
North Carolina St.,L, 103_71 ,-17.8
Presbyterian,L, 88_77 ,-7.6
Brevard,W, 93_65 ,-
Furman,L, 101_72 ,-11.2
Charleston Southern,W, 91_88 OT,-2.6
Jacksonville,W, 83_74 ,6.9
College of Charleston,L, 80_64 ,-9.7
UCF,L, 89_64 ,-3.6
Bethune Cookman,L, 86_80 ,1.9
Delaware St.,W, 63_60 ,2.6
Howard,W, 91_88 OT,-3.7
Maryland Eastern Shore,W, 66_62 ,-3
Norfolk St.,L, 78_54 ,-8.2
Hampton,L, 91_84 ,-2.9
Coppin St.,L, 73_65 ,-3.4
Morgan St.,W, 74_59 ,5.3
Savannah St.,L, 111_99 ,-5.1
Coppin St.,L, 84_60 ,-12.3
North Carolina A&T,W, 90_85 ,8.6
Hampton,L, 79_66 ,-8.3
Norfolk St.,L, 76_62 ,-5.9
North Carolina Central,W, 102_79 ,11.9
Florida A&M,L, 76_74 ,-0.5
Savannah St.,L, 94_81 ,-9.8
Morgan St.,L, 83_80 ,-8.8
