Opponent,Results,Score,PlusMinus
Mo. Baptist,W, 81_69 ,-
Louisiana Tech,L, 96_95 OT,-1.8
Evansville,L, 66_50 ,-11.3
Cal St. Northridge,W, 74_59 ,6.5
Montana St.,L, 88_82 ,-5.1
North Carolina Central,L, 77_70 ,-6.2
Hannibal-La Grange,W, 83_59 ,-
North Carolina Central,W, 86_77 ,5.9
UMKC,W, 91_87 ,6.2
Southern Illinois,W, 75_69 ,9.7
Kansas St.,L, 89_71 ,-14
Bradley,L, 75_67 ,-5.3
Saint Louis,L, 78_48 ,-10.7
Belmont,L, 94_72 ,-11.8
Tennessee St.,W, 77_65 ,2.3
Murray St.,L, 89_73 ,-7
Austin Peay,L, 76_71 ,-3.2
Morehead St.,W, 78_75 ,6.3
Eastern Kentucky,L, 91_86 ,-7.7
SIU Edwardsville,W, 86_74 ,7.2
Eastern Illinois,W, 86_74 ,-1.2
Tennessee Tech,L, 76_65 ,-0.1
Jacksonville St.,L, 78_60 ,-9.3
Murray St.,L, 87_75 ,3.4
Austin Peay,L, 96_81 ,-5.7
Morehead St.,W, 78_62 ,3.3
Tennessee Martin,W, 81_77 OT,-5.6
Eastern Illinois,W, 80_73 ,7.1
SIU Edwardsville,W, 79_74 ,5.7
Eastern Kentucky,L, 91_88 ,1.9
Tennessee Martin,L, 72_66 ,-3.5
