Opponent,Results,Score,PlusMinus
Louisiana Monroe,W, 83_73 ,4.8
Tennessee Tech,W, 100_63 ,18.8
South Dakota,W, 76_71 ,2.7
Nebraska Omaha,W, 99_66 ,19.1
New Mexico,W, 69_67 ,3.5
St. Bonaventure,W, 89_79 ,4
Belmont,W, 87_76 ,11.6
Yale,W, 92_66 ,10.3
SMU,W, 94_83 ,4.8
Nevada,W, 84_80 ,8.3
Texas Southern,W, 91_72 ,5.8
William & Mary,W, 86_75 ,5.3
Oklahoma,L, 90_89 ,1.8
Baylor,W, 81_78 OT,3.4
Kansas,L, 88_84 ,-6.6
Texas,L, 99_98 2OT,-4.7
Oklahoma,L, 102_97 OT,-2.6
Iowa St.,W, 96_73 ,11.4
Kansas St.,L, 73_68 ,-6.5
West Virginia,W, 82_73 ,5.4
Vanderbilt,L, 81_78 ,-4
Oklahoma St.,W, 79_66 ,5.5
Texas Tech,L, 83_71 ,-16.4
Kansas,L, 71_64 ,-0.3
Texas,W, 87_71 ,9
West Virginia,L, 82_66 ,-4.1
Oklahoma St.,W, 90_70 ,1.8
Iowa St.,W, 89_83 ,-0.4
Baylor,W, 82_72 ,3.8
Kansas St.,W, 66_59 ,2.1
Texas Tech,L, 79_75 ,2.8
Kansas St.,L, 66_64 OT,1
Syracuse,L, 57_52 ,-1.7
