Opponent,Results,Score,PlusMinus
Mercer,W, 88_79 ,4.3
Gardner Webb,W, 68_65 ,2.5
William & Mary,W, 75_64 ,3.2
Nebraska,W, 68_59 ,9.8
West Virginia,L, 83_45 ,-14.8
St. John's,L, 46_43 ,-4.1
Missouri,L, 62_59 ,-1.7
Alabama,W, 65_62 ,-1.7
Southern,W, 76_60 ,4.2
Southeastern Louisiana,W, 61_53 ,0.4
Stetson,W, 74_55 ,9.6
South Carolina St.,W, 89_64 ,3.6
SMU,L, 56_51 ,-5.7
East Carolina,W, 59_39 ,12.1
Memphis,W, 65_56 ,1.9
Temple,W, 60_39 ,5.3
Connecticut,L, 62_53 ,-5.1
Cincinnati,L, 49_38 ,0.9
South Florida,W, 71_69 ,-2.9
Wichita St.,L, 81_62 ,-9.2
Connecticut,W, 70_61 ,3.7
Houston,L, 69_65 ,-5.8
Cincinnati,L, 77_40 ,-15.4
Memphis,W, 68_64 ,0.3
South Florida,W, 72_57 ,6.4
SMU,W, 52_37 ,8.4
Tulsa,L, 70_61 ,-0.8
Temple,L, 75_56 ,-12.9
Wichita St.,L, 75_71 OT,-0.7
Tulane,W, 60_51 ,3.5
East Carolina,W, 66_52 ,8
Houston,L, 84_56 ,-9
