Opponent,Results,Score,PlusMinus
SMU,L, 78_67 ,0.5
Arizona,L, 103_78 ,-8.7
Central Pennsylvania College,W, 93_62 ,-
Colgate,L, 93_88 ,2.7
Chicago St.,W, 84_73 ,6.1
Nicholls St.,W, 89_88 ,-0.6
Shenandoah,W, 88_59 ,-
Army,L, 81_70 ,-2.9
The Citadel,W, 98_72 ,11.8
Delaware St.,W, 81_60 ,2.3
Towson,L, 78_65 ,-4.1
Coppin St.,W, 81_74 ,6
Northern Kentucky,W, 76_75 ,-1
Maryland,L, 66_45 ,-2.8
Centenary,W, 85_41 ,-
New Hampshire,W, 71_67 ,-2.3
Vermont,L, 71_56 ,-8.9
Maine,W, 72_67 ,3.6
UMass Lowell,W, 89_62 ,16.9
Hartford,W, 78_56 ,8.8
Albany,L, 83_39 ,-17.5
Binghamton,W, 69_57 ,7.7
Maine,W, 86_74 ,6.1
Stony Brook,W, 67_63 ,3.8
Vermont,L, 81_53 ,-6.2
Binghamton,W, 78_68 ,9.7
New Hampshire,W, 68_59 ,0
Albany,W, 68_60 ,-4.5
Stony Brook,L, 64_57 ,-3
UMass Lowell,W, 83_75 ,1.5
Hartford,W, 62_53 ,4.9
UMass Lowell,W, 89_77 ,-1.9
Hartford,W, 75_60 ,6.3
Vermont,W, 65_62 ,-3.3
Virginia,W, 74_54 ,4.8
Kansas St.,L, 50_43 ,-0.9
