Opponent,Results,Score,PlusMinus
Detroit,W, 111_79 ,10.1
The Citadel,W, 132_93 ,13.9
Saint Louis,L, 77_71 ,-4.8
Washington,W, 103_79 ,19.4
Houston Baptist,W, 99_73 ,5.4
Morehead St.,W, 96_63 ,19.8
Iowa,W, 79_55 ,4.6
Mississippi,W, 83_80 OT,-5.1
Radford,W, 95_68 ,12.3
Maryland Eastern Shore,W, 93_40 ,19.9
Kentucky,L, 93_86 ,-0.1
Presbyterian,W, 63_55 ,1.4
North Carolina A&T,W, 76_59 ,12.3
Syracuse,L, 68_56 ,-7.4
Virginia,L, 78_52 ,-10.5
Pittsburgh,W, 81_67 ,2.9
Wake Forest,W, 83_75 ,9
Louisville,L, 94_86 ,-1.9
Florida St.,L, 91_82 ,-5.9
North Carolina,W, 80_69 ,2.2
Notre Dame,W, 80_75 ,6.4
Boston College,W, 85_80 OT,2.6
Miami FL,L, 84_75 ,-8.9
North Carolina St.,W, 85_75 ,7.9
Virginia,W, 61_60 OT,1.8
Duke,L, 74_52 ,-6.6
Georgia Tech,W, 76_56 ,11.4
Clemson,W, 65_58 ,2.3
Louisville,L, 75_68 ,1.1
Duke,W, 64_63 ,-5.5
Miami FL,L, 69_68 ,1.2
Notre Dame,L, 71_65 ,7.1
Alabama,L, 86_83 ,0.2
