Opponent,Results,Score,PlusMinus
Utah St.,W, 65_59 ,4.4
West Coast Baptist,W, 110_45 ,-
Iona,L, 80_72 ,-7.3
James Madison,W, 73_65 ,5.5
Bradley,L, 70_64 ,-3.9
Black Hills St.,W, 105_52 ,-
Fresno St.,L, 83_71 ,-14.1
Utah Valley,L, 83_56 ,-10.8
BYU,L, 74_68 ,-3.5
Arkansas Pine Bluff,W, 96_74 ,12.5
Pepperdine,W, 72_67 ,7.1
Presentation,W, 88_48 ,-
Idaho St.,L, 62_60 ,-5.2
Northern Arizona,W, 95_55 ,10.9
Southern Utah,W, 92_76 ,7.1
Northern Colorado,W, 78_74 ,-3.2
North Dakota,L, 89_79 ,-3.3
Sacramento St.,W, 80_64 ,3.7
Portland St.,W, 84_79 ,4.9
Idaho St.,W, 77_70 ,3.8
Southern Utah,W, 90_80 ,1.8
Northern Arizona,W, 87_55 ,14.1
North Dakota,W, 84_76 ,1.8
Northern Colorado,W, 71_66 OT,-3.2
Portland St.,W, 95_86 OT,-1.4
Sacramento St.,W, 83_73 ,8
Eastern Washington,L, 75_70 ,-3.7
Idaho,L, 68_62 ,3
Montana,L, 75_57 ,-9.5
Montana St.,W, 95_92 OT,-1.6
Northern Colorado,L, 80_55 ,-13
