Opponent,Results,Score,PlusMinus
Loyola Chicago,L, 84_80 ,-4.4
Miami OH,L, 73_67 OT,-0.2
Murray St.,L, 80_61 ,-3.7
Tiffin,W, 73_49 ,-
Gardner Webb,W, 67_47 ,5.8
Jacksonville,W, 68_44 ,13.1
Fairfield,W, 57_56 ,2.2
Western Kentucky,L, 78_60 ,-9.2
Ohio Valley,W, 98_68 ,-
Kent St.,W, 63_54 ,6
Toledo,W, 77_69 ,1.9
Missouri St.,L, 66_50 ,-9.8
Georgia Tech,W, 85_81 ,-2.2
Illinois Chicago,W, 65_61 ,2.7
IUPUI,W, 60_52 ,3.4
Detroit,W, 80_73 ,6.4
Oakland,W, 86_81 OT,2.6
Northern Kentucky,W, 84_81 ,3.2
Youngstown St.,W, 77_67 ,1.8
Green Bay,W, 80_67 ,12
Milwaukee,L, 66_61 ,-3.2
Detroit,W, 87_55 ,16
Oakland,W, 64_51 ,8.8
Cleveland St.,L, 77_74 ,-5.3
Youngstown St.,W, 83_57 ,9.9
Green Bay,W, 68_64 ,0.6
Milwaukee,L, 74_73 ,-7.6
Northern Kentucky,W, 69_67 ,3.1
Cleveland St.,W, 72_63 ,-0
IUPUI,L, 66_56 ,-2
Illinois Chicago,W, 88_81 ,-4.4
Green Bay,W, 87_72 ,12.4
Milwaukee,W, 59_53 ,1.7
Cleveland St.,W, 74_57 ,5.2
Tennessee,L, 73_47 ,-10.4
