Opponent,Results,Score,PlusMinus
Marist,W, 73_69 ,1.3
Duke,L, 94_72 ,-7.7
Sacred Heart,L, 79_78 ,-1
UMass Lowell,L, 92_85 ,-1.7
Brown,L, 86_66 ,-13.1
SUNY Maritime,W, 91_40 ,-
Miami OH,L, 85_55 ,-13.8
Binghamton,W, 67_56 ,3.1
Fairfield,W, 63_60 ,6.4
NJIT,L, 77_72 ,-0.7
Air Force,W, 66_61 ,-6.4
Fairleigh Dickinson,L, 93_84 ,-6.8
Niagara,L, 78_66 ,0.3
Bucknell,L, 64_63 ,9.4
Lafayette,W, 77_69 ,9.3
Boston University,W, 86_82 ,3
Loyola MD,L, 66_64 ,-4.9
Colgate,W, 91_81 ,3.1
Navy,W, 72_61 ,-0.1
Holy Cross,W, 76_57 ,6.3
Lafayette,W, 69_63 ,-2
Colgate,L, 76_56 ,-8.8
Lehigh,L, 75_70 ,9.6
Holy Cross,L, 56_42 ,-4.3
American,L, 71_68 ,-0.3
Boston University,W, 71_61 ,3.7
Navy,L, 79_68 ,-2.8
Lehigh,L, 91_81 ,2.7
American,L, 77_66 ,-10.4
Loyola MD,W, 79_69 ,3.9
Bucknell,L, 62_61 ,3.9
Lehigh,L, 75_70 ,2.2
