Opponent,Results,Score,PlusMinus
TCU,L, 66_61 ,3.9
Antelope Valley,W, 111_75 ,-
Central Michigan,L, 67_55 ,-6.2
San Jose St.,W, 73_72 ,-1.5
Weber St.,W, 68_67 ,-0.5
USC,L, 90_75 ,-1.1
South Dakota,L, 68_56 ,-7.7
California Merced,W, 67_53 ,-
Idaho,W, 73_67 ,-0.3
Lamar,W, 86_65 ,3.6
Cal Poly,W, 74_61 ,8.4
Portland St.,W, 76_71 ,8.8
Gonzaga,L, 89_54 ,-13
Seattle,W, 83_71 ,8.5
Utah Valley,W, 73_71 ,1.9
UT Rio Grande Valley,W, 75_69 ,7.1
New Mexico St.,L, 73_62 ,2.5
UMKC,W, 74_73 ,2.6
Chicago St.,W, 86_73 ,-0.5
Cal Baptist,W, 88_84 ,0.5
California-Santa Cruz,W, 81_54 ,-
Grand Canyon,L, 72_59 ,-3.8
New Mexico St.,L, 71_70 OT,-2.9
UT Rio Grande Valley,L, 79_74 OT,7.3
Chicago St.,W, 75_62 ,10.1
UMKC,L, 75_67 ,-7.1
Cal Baptist,L, 72_58 ,-11.3
Grand Canyon,L, 73_69 ,1.7
Seattle,L, 63_57 OT,-3.1
Utah Valley,L, 76_61 ,-8.5
UT Rio Grande Valley,L, 85_70 ,-13.5
Cal St. Fullerton,W, 66_58 ,6.5
Southern Utah,W, 70_67 ,2.5
Green Bay,L, 80_65 ,-5.9
