Opponent,Results,Score,PlusMinus
Chattanooga,L, 80_69 ,-8.5
Oklahoma St.,W, 66_64 ,-10.7
James Madison,L, 64_59 ,-9
Longwood,W, 42_39 ,-2
Davidson,L, 76_56 ,-9.2
College of Charleston,L, 72_64 ,-1.9
Wake Forest,L, 80_56 ,-9.2
East Carolina,W, 55_49 ,3
TCU,L, 82_57 ,-9.8
Rhode Island,L, 75_61 ,-10.4
Colorado,L, 68_53 ,-5.3
Western Kentucky,L, 68_50 ,-9
Marshall,L, 85_84 ,-3.9
FIU,L, 69_66 ,-9.3
Florida Atlantic,W, 65_60 ,1.8
Southern Miss,L, 63_60 ,-1
Louisiana Tech,W, 55_40 ,4.7
Old Dominion,L, 76_70 ,-1
UTSA,L, 88_43 ,-17.4
UTEP,L, 57_53 ,-2.9
Rice,L, 65_61 ,-2.8
North Texas,L, 73_66 ,1.7
Middle Tennessee,L, 71_53 ,-6.4
UAB,W, 69_62 ,2.4
Old Dominion,L, 73_60 ,-13.3
Middle Tennessee,L, 86_67 ,-9.1
UTEP,W, 68_58 ,-1.4
Rice,L, 79_70 ,-5.8
Rice,W, 78_70 ,-1.6
