Opponent,Results,Score,PlusMinus
Davidson,L, 83_63 ,-8.4
Kent St.,L, 83_79 ,-5.9
Urbana,W, 94_65 ,-
South Carolina St.,W, 84_69 ,3.9
Samford,L, 73_60 ,-8.5
Ohio St.,L, 89_62 ,-10.7
Fort Wayne,L, 82_79 ,-5.8
DePaul,L, 83_73 ,-1.1
Toledo,L, 80_67 ,-5.3
Bowling Green,W, 82_64 ,4.4
Notre Dame College of Ohio,W, 77_56 ,-
Illinois St.,L, 88_77 OT,-1.6
Niagara,W, 82_60 ,5.8
Oakland,L, 89_77 ,-6.5
Detroit,L, 73_61 ,-9.1
Milwaukee,L, 83_76 ,3.4
Green Bay,L, 90_89 ,1
IUPUI,L, 90_74 ,-8.6
Illinois Chicago,L, 73_56 ,-11.7
Northern Kentucky,L, 91_76 ,-10.4
Wright St.,L, 89_66 ,-11.3
Youngstown St.,W, 72_62 ,10.1
Detroit,L, 78_64 ,-8.1
Oakland,L, 83_68 ,-8.7
Green Bay,L, 82_65 ,-6.2
Milwaukee,W, 78_68 ,7.1
Illinois Chicago,L, 81_77 ,-3.7
IUPUI,W, 89_86 ,-0.9
Wright St.,L, 87_61 ,-5.9
Northern Kentucky,W, 83_77 ,0.1
Youngstown St.,W, 89_80 OT,-3.8
