Opponent,Results,Score,PlusMinus
Idaho St.,W, 120_79 ,15.9
Texas Southern,W, 104_67 ,14.5
Texas A&M,W, 94_71 ,8.5
Illinois,W, 84_78 ,5.2
Arizona,W, 91_74 ,-1.3
Duke,W, 89_87 ,7
North Dakota St.,W, 102_60 ,16.9
Creighton,W, 103_92 ,-1
Washington,W, 81_79 ,5
Tennessee,L, 76_73 ,0.7
North Carolina,L, 103_90 ,-9.3
UT Arlington,W, 89_55 ,13.8
Denver,W, 101_40 ,28
North Alabama,W, 96_51 ,27.7
Cal St. Bakersfield,W, 89_54 ,13
Santa Clara,W, 91_48 ,17.8
Pacific,W, 67_36 ,12.3
San Francisco,W, 96_83 ,2.7
Loyola Marymount,W, 73_55 ,11.8
Portland,W, 89_66 ,11.4
Santa Clara,W, 98_39 ,26.9
BYU,W, 93_63 ,12.7
San Diego,W, 85_69 ,6.3
San Francisco,W, 92_62 ,9
Saint Mary's,W, 94_46 ,23.2
Loyola Marymount,W, 73_60 ,2.4
San Diego,W, 79_67 ,5.9
Pepperdine,W, 92_64 ,14.4
BYU,W, 102_68 ,10.6
Pacific,W, 86_66 ,11.9
Saint Mary's,W, 69_55 ,5.4
Pepperdine,W, 100_74 ,16.5
Saint Mary's,L, 60_47 ,-2.4
Fairleigh Dickinson,W, 87_49 ,25.6
Baylor,W, 83_71 ,9.4
Florida St.,W, 72_58 ,7.1
Texas Tech,L, 75_69 ,-0.3
