Opponent,Results,Score,PlusMinus
Arizona,L, 90_60 ,-9.7
Fordham,W, 75_72 ,1.5
Wisconsin,L, 96_59 ,-19.6
Wake Forest,W, 93_91 OT,-5.6
UTSA,L, 86_82 ,-0.9
Louisiana Tech,L, 85_78 ,-2.7
Texas St.,L, 90_80 ,-7.4
Arlington Baptist,W, 107_70 ,-
Samford,L, 85_61 ,-9
Miami FL,L, 80_73 ,-7
Dallas Christian,W, 143_92 ,-
Lamar,W, 88_82 OT,4.9
New Orleans,L, 81_76 OT,-6.5
Nicholls St.,L, 77_76 ,4.2
Abilene Christian,L, 75_68 ,-2.4
Sam Houston St.,L, 71_65 ,-1.6
Southeastern Louisiana,L, 70_67 ,-6.5
McNeese St.,L, 79_73 ,-3.6
Incarnate Word,W, 96_92 ,-0.5
Texas A&M Corpus Chris,W, 73_72 ,5.8
Stephen F. Austin,L, 79_77 ,3.6
Central Arkansas,W, 75_71 ,5
Nicholls St.,W, 88_82 ,-3.2
Northwestern St.,W, 92_54 ,9.8
Sam Houston St.,L, 119_113 2OT,-10.1
Lamar,L, 110_75 ,-10.7
McNeese St.,W, 86_65 ,17.2
Incarnate Word,W, 118_111 ,2.1
Texas A&M Corpus Chris,L, 76_69 ,0.6
Lamar,L, 81_79 ,-2.4
