Opponent,Results,Score,PlusMinus
Notre Dame,L, 84_67 ,-16.4
Radford,L, 88_78 ,-4
Duquesne,L, 89_88 OT,7.7
William & Mary,W, 100_95 OT,-1.8
Bradley,W, 71_70 ,3.2
Wisconsin-Parkside,W, 94_74 ,-
Saint Joseph's,L, 89_75 ,2.1
Loyola Chicago,L, 73_64 ,-9.5
Illinois St.,W, 94_75 ,7.2
Colorado,L, 84_72 ,-5.6
DePaul,L, 90_70 ,-15.8
Incarnate Word,W, 63_57 ,6.8
St. Francis (IL),W, 76_55 ,-
Wright St.,W, 75_72 OT,-0.3
Northern Kentucky,L, 73_58 ,-8.3
IUPUI,L, 66_64 ,-4.8
Youngstown St.,W, 78_63 ,16.2
Cleveland St.,W, 73_56 ,11.7
Milwaukee,L, 81_69 ,-4.6
Green Bay,L, 90_85 ,-0.5
Detroit,W, 79_67 ,10.5
Oakland,L, 80_67 ,-10.3
Wright St.,W, 67_53 ,0.5
Northern Kentucky,W, 69_67 ,4.4
IUPUI,W, 76_75 ,8.4
Cleveland St.,W, 81_77 ,3.7
Youngstown St.,L, 81_73 ,2.6
Green Bay,L, 63_62 ,6.8
Milwaukee,W, 74_59 ,7.3
Oakland,L, 86_72 ,-4.7
Detroit,W, 80_71 ,1.9
Green Bay,L, 82_77 ,0.8
