Opponent,Results,Score,PlusMinus
Albany,W, 72_68 ,-4.5
New Mexico,L, 90_83 ,-1.2
Long Beach St.,L, 86_85 ,-2.8
Hartford,W, 80_75 ,4
Providence,L, 91_79 ,-9.7
Ohio,L, 89_65 ,-5.9
VCU,L, 88_59 ,-16.3
Columbia,L, 74_71 ,-4.9
Princeton,L, 85_81 ,-1.5
Yale,L, 99_84 ,-11.6
Holy Cross,L, 78_71 ,-2.6
Monmouth,W, 103_84 ,13.3
Fairfield,W, 94_87 ,-4.9
Niagara,L, 95_90 ,-3.7
Canisius,W, 88_70 ,12.8
Marist,W, 90_77 ,4.1
Monmouth,L, 83_81 ,-2.6
Rider,W, 77_71 ,6.3
Fairfield,L, 80_68 ,-13.4
Marist,L, 78_74 ,-7.1
Siena,L, 56_54 ,0.8
Quinnipiac,L, 66_65 ,-5.4
Niagara,W, 79_76 ,-2
Siena,W, 57_52 ,-1.6
Saint Peter's,W, 62_46 ,5.3
Quinnipiac,W, 81_77 ,-0.9
Manhattan,W, 66_52 ,3.2
Canisius,W, 87_80 ,0.1
Rider,W, 86_79 ,6.9
Saint Peter's,W, 73_71 ,1.8
Siena,W, 73_57 ,10.8
Monmouth,W, 81_60 ,9.9
North Carolina,L, 88_73 ,-4.7
