Opponent,Results,Score,PlusMinus
University of the South,W, 97_53 ,-
Tennessee St.,W, 86_79 ,2.7
Belmont,L, 87_83 ,-6.1
SMU,W, 79_73 ,0
TCU,W, 73_64 ,1
Morehead St.,W, 87_55 ,15.2
Middle Tennessee,W, 84_74 ,4.3
Belmont,L, 76_74 ,0.3
Navy,W, 107_81 ,7.3
Louisville,L, 72_68 ,-4.5
Covenant,W, 119_48 ,-
Vermont,W, 91_66 ,9.3
Clemson,L, 84_67 ,-11.6
Jacksonville,W, 77_74 ,5.3
North Florida,W, 81_66 ,7
Stetson,W, 95_71 ,14.3
NJIT,W, 70_52 ,11
Kennesaw St.,W, 86_57 ,9
Florida Gulf Coast,W, 89_81 ,4.6
Stetson,W, 88_65 ,18.2
Liberty,W, 79_59 ,12.5
North Alabama,W, 102_80 ,20.3
North Florida,W, 92_55 ,16.6
Jacksonville,W, 86_77 ,3.6
Liberty,L, 74_66 ,-6.8
Kennesaw St.,W, 83_67 ,6.3
Florida Gulf Coast,L, 67_61 ,1.3
NJIT,W, 81_77 ,8.4
North Alabama,W, 87_75 ,6.9
Kennesaw St.,W, 86_71 ,7.3
NJIT,W, 78_55 ,9.7
Liberty,L, 74_68 ,0.8
Davidson,W, 89_81 ,-2.2
UNC Greensboro,W, 86_69 ,5.6
North Carolina St.,W, 94_93 ,-2.4
Wichita St.,W, 71_64 ,-0.5
Texas,L, 81_66 ,-7.1
