Opponent,Results,Score,PlusMinus
UCLA,L, 91_80 ,-1.8
Menlo,W, 78_57 ,-
Arizona St.,L, 90_58 ,-14.2
Mississippi St.,L, 79_51 ,-4.9
Iona,W, 86_85 ,2.8
Utah Valley,L, 87_72 ,-5.7
Oregon St.,L, 75_72 ,-0.9
USC,L, 75_65 ,-4.9
San Diego,L, 74_70 ,-1.2
Southern Utah,W, 82_71 ,-0.7
Fresno St.,L, 92_71 ,-7.6
Pacific,L, 74_68 ,2.9
Pepperdine,W, 67_66 ,-0.8
Colorado St.,W, 64_61 ,3
Stanford,L, 93_86 ,-2.9
Bethesda,W, 124_52 ,-
UC Davis,W, 82_77 ,-0.7
UC Irvine,W, 80_70 ,0.1
Cal St. Fullerton,L, 92_90 OT,-3.3
Cal St. Northridge,L, 86_71 ,-2.8
UC Santa Barbara,L, 82_71 ,-4.5
Hawaii,L, 74_57 ,-4.2
UC Irvine,L, 82_80 ,-1.3
Hawaii,L, 77_70 ,-2.8
Cal Poly,W, 76_68 OT,0.5
Cal St. Fullerton,L, 85_82 ,-4.3
UC Davis,L, 77_73 ,1.9
Cal St. Northridge,W, 80_78 ,-8.5
UC Riverside,W, 71_67 OT,-2.5
UC Santa Barbara,W, 69_64 ,3.4
Cal Poly,W, 94_85 ,9.1
UC Riverside,W, 70_57 ,1.5
Hawaii,W, 68_66 ,-7.8
UC Irvine,L, 75_67 ,0.8
