Opponent,Results,Score,PlusMinus
Nebraska,L, 106_37 ,-30.3
Texas Tech,L, 84_52 ,-16.4
Utah St.,L, 94_59 ,-18.6
Utah,L, 98_63 ,-13.8
Robert Morris,L, 68_59 ,-7.1
Southeastern Louisiana,W, 69_59 ,3.2
Illinois,L, 86_67 ,-8.9
Rust College,W, 102_62 ,-
Cal Baptist,L, 107_71 ,-15.8
Southeast Missouri St.,L, 77_57 ,-5.2
Louisiana Tech,L, 96_80 ,-5.9
Santa Clara,L, 82_54 ,-15.3
Hawaii,L, 76_51 ,-13.2
Grand Canyon,L, 85_64 ,-7.7
Arkansas Pine Bluff,L, 64_52 ,-1.4
Alabama A&M,W, 72_63 ,7.1
Alabama St.,L, 81_79 OT,-1.1
Alcorn St.,L, 63_57 ,2.9
Southern,L, 80_56 ,-14
Prairie View A&M,L, 89_78 ,-3.4
Texas Southern,L, 65_62 ,1.9
Jackson St.,L, 61_57 ,0.6
Grambling St.,L, 79_57 ,-6.7
Alabama A&M,L, 78_63 ,-6.2
Alabama St.,L, 82_59 ,-8
Alcorn St.,W, 76_68 ,3.2
Southern,W, 70_59 ,5.7
Prairie View A&M,L, 69_63 ,3.3
Texas Southern,L, 92_80 ,-11.2
Jackson St.,W, 60_57 ,2.5
Grambling St.,L, 77_75 ,-5.3
Arkansas Pine Bluff,L, 91_57 ,-7.8
