Opponent,Results,Score,PlusMinus
Minnesota,L, 104_76 ,-11.8
Buena Vista,W, 94_58 ,-
Northern Arizona,L, 76_66 ,-6.1
Colorado,L, 79_75 ,-1.3
Bethune Cookman,W, 76_56 ,-3.1
Montana St.,W, 89_65 ,10.1
Iowa St.,L, 82_55 ,-14
Arizona St.,L, 89_71 ,-9.2
Seattle,L, 90_71 ,-5.4
Oregon,L, 84_61 ,-14
Idaho,W, 89_80 ,6.8
UC Santa Barbara,W, 85_74 ,10.5
Rice,W, 83_66 ,5.7
Denver,W, 91_84 ,2.4
Oral Roberts,L, 87_84 ,-5.1
North Dakota St.,W, 90_77 ,10.3
North Dakota,W, 92_91 ,-6.1
Western Illinois,W, 80_71 ,9.4
South Dakota,W, 75_68 ,2.1
Fort Wayne,W, 85_79 OT,-3
South Dakota St.,L, 83_73 ,-5
North Dakota,W, 90_72 ,8.7
South Dakota,W, 107_102 OT,3.9
South Dakota St.,W, 85_84 ,-4.1
Fort Wayne,W, 74_71 ,0.7
Western Illinois,W, 77_63 ,8.3
North Dakota St.,W, 58_50 ,-5.7
Oral Roberts,L, 84_80 ,-1.8
Denver,W, 86_76 ,6.6
North Dakota,W, 81_76 ,4.8
Fort Wayne,W, 61_60 ,4.7
North Dakota St.,L, 73_63 ,-5.8
