Opponent,Results,Score,PlusMinus
Michigan,L, 63_44 ,-16
Mid-Atlantic Christian,W, 108_50 ,-
Clarion,W, 74_46 ,-
South Carolina,L, 81_64 ,-13.3
Siena,L, 61_58 ,1
Stony Brook,L, 72_65 ,0.2
NYIT,W, 97_57 ,-
Stony Brook,L, 79_73 ,-6.3
Hampton,W, 94_89 2OT,3.9
Kent St.,L, 78_67 ,-7.7
Rider,L, 81_71 ,-5.7
Loyola Chicago,L, 80_49 ,-17.1
UTEP,W, 75_62 ,6.4
East Tennessee St.,L, 89_61 ,-13.9
Niagara,L, 83_75 ,-6.8
Delaware St.,W, 77_63 ,5.8
Florida A&M,W, 72_62 ,2.7
Coppin St.,W, 80_66 ,9.6
Bethune Cookman,W, 75_68 ,3.5
Savannah St.,W, 82_76 ,-2.5
South Carolina St.,W, 74_69 ,-1.3
Maryland Eastern Shore,W, 88_60 ,15.1
Howard,W, 80_78 ,-9.1
Bethune Cookman,L, 84_76 ,-7
Florida A&M,W, 66_54 ,9.5
North Carolina Central,W, 75_71 OT,-2.2
North Carolina A&T,W, 76_58 ,11.1
Morgan St.,W, 75_74 ,1.9
Coppin St.,W, 72_38 ,13.1
Delaware St.,W, 74_66 ,4.8
Howard,L, 98_95 ,0
South Carolina St.,W, 78_73 ,-0.6
Howard,W, 75_69 ,3.4
North Carolina Central,L, 50_47 ,0.6
Alabama,W, 80_79 OT,-1.1
Colorado,L, 76_60 ,-11.2
