Opponent,Results,Score,PlusMinus
Northland,W, 104_48 ,-
Milwaukee,W, 63_60 ,8.2
Kentucky,L, 96_58 ,-14.4
Minnesota-Morris,W, 112_58 ,-
Concordia College (NE),W, 89_56 ,-
Utah Valley,L, 74_68 ,-5.5
Montana St.,L, 81_76 ,0.6
Idaho,L, 67_54 ,0.8
UT Rio Grande Valley,L, 70_56 ,-10.3
Milwaukee,W, 83_72 ,1.3
Mayville State,W, 83_66 ,-
Marquette,L, 92_66 ,-14
Northern Iowa,L, 64_62 ,-2.9
Fort Wayne,L, 84_73 ,-9.6
Oral Roberts,L, 83_72 ,-5.2
Denver,W, 80_59 ,12.6
Nebraska Omaha,L, 92_91 ,6.1
Western Illinois,W, 71_65 ,-1.2
South Dakota St.,L, 78_74 ,-1.8
North Dakota St.,L, 67_65 ,2.5
South Dakota,L, 70_56 ,-9.5
Western Illinois,W, 74_73 ,4.8
Nebraska Omaha,L, 90_72 ,-8.7
North Dakota St.,L, 74_70 ,-1.7
South Dakota St.,L, 80_55 ,-7.1
Oral Roberts,W, 85_73 ,5.3
Denver,W, 81_63 ,9.9
Fort Wayne,W, 88_82 ,0.6
South Dakota,L, 78_63 ,-3.5
Nebraska Omaha,L, 81_76 ,-4.8
