Opponent,Results,Score,PlusMinus
Wilberforce,W, 97_61 ,-
Campbell,W, 81_73 ,-1.5
South Florida,L, 73_46 ,-11
Loyola Marymount,L, 65_56 ,-5.5
Austin Peay,W, 85_82 OT,5.7
Iona,W, 89_65 ,5.9
Marshall,W, 101_84 ,11.4
Xavier,L, 82_61 ,-4.6
Radford,W, 78_69 ,6.8
Detroit,W, 63_61 ,3.6
Purdue,L, 95_67 ,-13.3
FIU,W, 68_66 ,4.5
Northern Illinois,L, 72_66 OT,4.5
Bowling Green,L, 82_63 ,-2
Ball St.,W, 70_52 ,13.9
Kent St.,L, 66_52 ,-6.3
Toledo,L, 75_52 ,-14.1
Western Michigan,W, 81_76 ,2.2
Ball St.,W, 78_74 ,-1.4
Northern Illinois,L, 71_60 ,-2.4
Akron,L, 65_53 ,-9.4
Miami OH,L, 79_59 ,-11.5
Eastern Michigan,L, 66_57 ,-4.7
Central Michigan,L, 87_80 ,-2.3
Buffalo,L, 114_67 ,-17.2
Bowling Green,W, 92_87 OT,-2.7
Kent St.,L, 78_73 ,-3.8
Akron,W, 73_49 ,13.5
Buffalo,L, 82_79 ,-4.9
Miami OH,W, 66_57 ,-5
Northern Illinois,L, 80_61 ,-11.7
