Opponent,Results,Score,PlusMinus
College of Charleston,L, 85_73 ,-2.5
Tennessee Tech,W, 80_65 ,7.7
Welch,W, 109_57 ,-
Boyce,W, 102_49 ,-
Marquette,L, 74_55 ,-2.2
UCLA,L, 80_65 ,-12.6
St. Francis NY,L, 90_86 ,-1.4
North Carolina A&T,W, 75_70 ,0.2
Jacksonville,L, 94_88 ,2.2
VMI,W, 103_70 ,11.2
Trinity (FL),W, 87_44 ,-
Butler,L, 76_67 ,1.3
Dayton,L, 81_69 ,-16.3
Jacksonville,W, 72_67 ,4
South Carolina St.,W, 72_70 ,3.1
USC Upstate,W, 64_61 ,5.2
High Point,L, 74_58 ,-12.3
Radford,L, 79_77 ,-3.4
Hampton,W, 85_70 ,6
Longwood,W, 71_64 ,1.3
USC Upstate,W, 68_59 ,4.4
Campbell,L, 77_73 ,-2.1
Winthrop,W, 99_91 ,-2.8
Charleston Southern,L, 85_84 ,-1.3
UNC Asheville,W, 67_44 ,13
Gardner Webb,W, 103_101 OT,-1
Winthrop,L, 93_85 ,2.1
Campbell,W, 76_71 ,6.8
UNC Asheville,W, 71_55 ,0.9
Gardner Webb,L, 78_70 ,-10.3
Charleston Southern,L, 72_65 ,0.9
UNC Asheville,W, 106_59 ,21.8
Radford,L, 84_76 ,-2.2
Seattle,W, 73_68 ,3.8
Robert Morris,W, 77_70 ,0.3
Marshall,L, 83_66 ,-4.5
