Opponent,Results,Score,PlusMinus
Pacific,L, 74_65 ,-11.3
Winthrop,L, 94_82 ,-4.8
Valparaiso,L, 75_70 OT,-0.1
Incarnate Word,W, 80_68 ,2.5
Western Illinois,L, 83_58 ,-12.6
Southern Illinois,L, 82_61 ,-8.4
Harris Stowe,W, 92_87 ,-
Drake,L, 79_66 ,-8
Washington St.,L, 89_73 ,-10.2
Cal St. Northridge,L, 85_79 ,-6.4
Northern Colorado,W, 82_72 ,0.1
Missouri-Rolla,W, 79_66 ,-
Southeast Missouri St.,W, 94_88 ,8.1
Eastern Illinois,L, 84_81 OT,1.8
Tennessee Tech,L, 78_69 OT,-2
Jacksonville St.,L, 90_54 ,-13.5
Austin Peay,L, 79_71 ,-2.3
Murray St.,L, 82_72 ,-0.9
Southeast Missouri St.,W, 87_86 3OT,-2.8
Tennessee Martin,L, 85_69 ,-3.3
Morehead St.,W, 83_76 ,-3.4
Eastern Kentucky,W, 88_82 2OT,6.4
Austin Peay,L, 80_45 ,-21.8
Murray St.,L, 86_55 ,-6.4
Eastern Illinois,L, 79_65 ,-10.8
Tennessee Martin,L, 73_69 ,-3.7
Tennessee St.,W, 85_84 ,8
Belmont,L, 97_75 ,-6.6
Tennessee Tech,W, 76_68 ,5.5
Jacksonville St.,L, 97_72 ,-22.6
Morehead St.,L, 72_68 ,-2.9
