Opponent,Results,Score,PlusMinus
Northwestern St.,W, 69_58 ,5.7
Southern Miss,L, 74_64 ,-0
Western Carolina,W, 98_65 ,18.4
Lipscomb,L, 79_73 ,0
Bradley,L, 75_62 ,-3.2
Wright St.,W, 77_76 ,-2.8
Lamar,W, 79_65 ,9.9
McNeese St.,W, 91_59 ,12.4
Oral Roberts,W, 79_67 ,13.4
TCU,L, 67_59 ,1
Georgetown,W, 81_73 ,3.5
Cornell,W, 81_53 ,14.2
East Carolina,W, 82_54 ,8.5
Tulane,W, 74_65 ,9.4
Connecticut,L, 76_64 ,-6.7
Tulsa,W, 77_57 ,9.6
Houston,L, 69_58 ,-8.3
Memphis,L, 83_61 ,-13.4
Tulane,W, 85_75 ,-0.3
Wichita St.,L, 85_83 ,2.9
Cincinnati,L, 73_68 ,-3.6
South Florida,L, 67_66 ,-0.9
UCF,L, 71_65 ,-5.5
Temple,L, 82_74 ,-2.5
Connecticut,W, 77_59 ,8.9
UCF,L, 95_48 ,-20.7
Cincinnati,L, 52_49 ,-0.8
Wichita St.,L, 67_55 ,-11.2
Houston,L, 90_79 ,-8.2
South Florida,W, 77_71 ,5.6
Tulsa,W, 74_65 ,10.1
Cincinnati,L, 82_74 ,-0.8
