Opponent,Results,Score,PlusMinus
Fort Valley State,W, 95_60 ,-
Saint Louis,L, 62_58 ,3
Pittsburgh,L, 84_75 ,-6.9
Southern Miss,L, 81_66 ,-12.9
Central Arkansas,W, 82_77 ,2.3
North Alabama,W, 77_58 ,8.5
Austin Peay,L, 79_74 OT,1.4
Florida St.,L, 83_67 ,-8.4
Carver College,W, 88_43 ,-
Western Kentucky,W, 87_81 ,6.2
UAB,W, 74_73 ,-0.1
Arkansas Pine Bluff,W, 71_63 ,0.3
Coastal Carolina,L, 88_75 ,-11.6
Appalachian St.,W, 89_85 ,8.2
Little Rock,L, 73_59 ,-1
Arkansas St.,W, 90_85 OT,0
Georgia Southern,L, 90_82 ,-5.3
Georgia St.,W, 77_75 ,-0.8
Louisiana Monroe,L, 75_69 ,-1.8
Louisiana Lafayette,L, 86_81 ,-1
South Alabama,L, 81_75 ,1.8
Little Rock,L, 84_70 ,-2.8
Arkansas St.,W, 84_79 ,4.5
Georgia St.,L, 77_63 ,-6
Georgia Southern,L, 76_51 ,-8.9
South Alabama,L, 68_52 ,-7.8
Texas St.,L, 58_44 ,-5
UT Arlington,L, 79_66 ,-6.9
Appalachian St.,L, 72_64 ,-7
Coastal Carolina,W, 74_67 ,-3.6
