Opponent,Results,Score,PlusMinus
San Francisco,L, 76_42 ,-17.8
San Diego,L, 76_57 ,-6.7
Arkansas,L, 81_58 ,-9.7
Texas A&M Corpus Chris,W, 57_54 OT,-0.6
UT Arlington,L, 68_59 ,-3.8
Sacramento St.,L, 58_55 ,-0.9
Indiana,L, 76_62 ,4.2
Northern Arizona,W, 73_57 ,9.3
Northern Illinois,L, 71_62 ,-3
William Jessup,W, 83_65 ,-
Arizona,L, 70_68 ,-4.6
Loyola Marymount,L, 77_59 ,-11.9
USC,L, 73_55 ,-2.1
Holy Names,W, 90_60 ,-
UC Irvine,L, 71_69 OT,-5
Long Beach St.,L, 82_77 ,0.7
UC Santa Barbara,L, 69_58 ,-4.5
Cal Poly,W, 75_63 ,-3.6
Hawaii,L, 80_60 ,-7.3
UC Riverside,W, 84_71 ,12.9
Cal Poly,W, 63_53 ,4.5
UC Santa Barbara,W, 61_57 ,-0.5
Cal St. Northridge,W, 76_59 ,8.1
Long Beach St.,W, 77_73 ,-1.9
Cal St. Fullerton,L, 62_58 ,-1.4
Cal St. Northridge,L, 81_76 OT,-1.7
UC Irvine,L, 64_48 ,-8.8
Cal St. Fullerton,W, 66_59 ,3.7
Hawaii,L, 76_69 ,4.1
UC Riverside,L, 71_70 ,-4.8
Cal St. Fullerton,L, 75_71 OT,0.9
