Opponent,Results,Score,PlusMinus
Westminster (UT),W, 96_71 ,-
BYU,L, 75_65 ,-1
Saint Mary's,L, 92_63 ,-16.3
Utah St.,L, 65_46 ,-7.4
Hartford,W, 72_65 ,8
Long Beach St.,W, 87_72 ,5.7
North Dakota,W, 74_68 ,5.5
Western State,W, 82_59 ,-
Denver,W, 98_75 ,14.3
Arizona,L, 80_69 ,0.9
Northern Arizona,W, 98_78 ,4.3
Weber St.,W, 75_63 ,11.8
Idaho St.,W, 88_77 ,2.4
Sam Houston St.,W, 85_79 ,1.8
Fresno St.,W, 64_60 ,2
Grand Canyon,L, 71_60 ,-5
Cal St. Bakersfield,L, 73_71 ,-1.9
Seattle,W, 88_78 ,-6.8
UT Rio Grande Valley,W, 82_61 ,12.5
New Mexico St.,L, 83_78 ,2.5
UMKC,W, 75_67 ,2.7
Chicago St.,W, 74_60 ,6.3
Cal Baptist,W, 79_62 ,8.8
New Mexico St.,L, 84_77 ,-5.3
UT Rio Grande Valley,W, 76_64 ,-1.8
Chicago St.,W, 103_71 ,8.3
UMKC,W, 79_67 ,2.1
Seattle,W, 77_68 ,4.4
Cal Baptist,W, 64_63 ,4.6
Grand Canyon,W, 82_70 ,8.3
Cal St. Bakersfield,W, 76_61 ,8.5
UMKC,W, 71_64 ,0.1
Grand Canyon,L, 78_74 ,-0.3
Cal St. Northridge,W, 92_84 ,3.3
South Florida,L, 66_57 ,-4.2
