Opponent,Results,Score,PlusMinus
Michigan,L, 79_71 ,-16.5
Ferrum,W, 83_56 ,-
East Carolina,W, 68_62 ,2.9
Montana St.,L, 59_56 ,-3.5
Tennessee Tech,W, 69_47 ,6.6
UNC Greensboro,L, 55_41 ,-5.1
Charlotte,W, 64_55 ,10.5
East Tennessee St.,L, 78_69 ,-6.2
St. Andrews,W, 90_58 ,-
Howard,W, 81_59 ,10.8
South Alabama,W, 81_71 ,1.3
Troy,W, 70_65 ,-3.5
North Carolina St.,L, 72_60 ,-5.5
Georgia St.,L, 69_60 ,-10.5
Georgia Southern,W, 74_72 ,-0.8
Louisiana Lafayette,L, 81_73 ,2.2
UT Arlington,L, 66_56 ,-6.6
Texas St.,L, 82_57 ,-15.4
Arkansas St.,W, 83_80 OT,1.7
Little Rock,L, 73_57 ,-9.2
Coastal Carolina,W, 78_58 ,13
Arkansas St.,W, 71_64 ,2.5
Little Rock,L, 93_86 ,-6.1
UT Arlington,W, 57_50 ,2.9
Texas St.,W, 60_57 ,-5.1
Georgia St.,L, 76_65 ,-12.1
Georgia Southern,W, 62_57 ,-3.8
South Alabama,L, 78_70 ,-6.2
Troy,W, 68_59 ,3.2
Coastal Carolina,L, 84_77 ,-5.3
Louisiana Monroe,W, 61_57 ,4.8
Coastal Carolina,W, 70_65 ,-4.9
Texas St.,L, 85_68 ,-11
