Opponent,Results,Score,PlusMinus
IUPUI,W, 80_47 ,11.6
New Orleans,W, 79_53 ,15.4
Minnesota,W, 64_56 ,3.7
Wofford,W, 80_61 ,9.4
Morehead St.,W, 68_50 ,3.8
Missouri,W, 63_52 ,10.9
Stanford,W, 68_67 ,2.3
Mississippi,W, 67_58 ,8.7
Florida,W, 76_62 ,5.6
Baylor,L, 53_52 ,-7.8
Southern,W, 66_41 ,13.2
Purdue,W, 70_61 ,5.3
Louisiana Monroe,W, 67_36 ,13.7
St. John's,W, 60_58 ,6.5
Creighton,W, 71_57 ,6.1
Providence,W, 70_58 ,8.4
Seton Hall,L, 78_70 ,1.5
DePaul,L, 79_66 ,-11.3
Villanova,L, 76_61 ,-6.2
Marquette,W, 89_85 OT,-2.7
Georgetown,W, 69_64 ,-1.4
Providence,L, 65_61 ,-1
Villanova,W, 79_76 ,3
Marquette,L, 76_57 ,-6.7
Xavier,W, 66_61 ,6.6
Georgetown,L, 73_66 ,-2.8
Seton Hall,L, 74_72 ,-2.8
Creighton,L, 81_59 ,-13
DePaul,W, 60_42 ,9.4
St. John's,W, 77_55 ,2.6
Xavier,W, 72_71 ,2.2
