Opponent,Results,Score,PlusMinus
Columbia Int'l,W, 99_71 ,-
North Carolina A&T,L, 63_49 ,-0.8
Furman,L, 91_47 ,-24.6
Dayton,L, 90_61 ,-10.7
Michigan St.,L, 94_46 ,-19.3
Southern Utah,L, 80_45 ,-12
Delaware St.,W, 71_61 ,-0.2
Missouri,W, 68_60 ,0.5
North Carolina Central,W, 58_53 ,4
James Madison,L, 81_60 ,-12.3
Eastern Kentucky,W, 76_69 ,8.6
Piedmont Int'l,W, 108_52 ,-
USC Upstate,W, 89_75 ,8.7
Hampton,L, 92_85 ,-3.5
Longwood,L, 74_56 ,-11.1
UNC Asheville,L, 71_69 ,-3.9
Campbell,W, 77_62 ,8.4
High Point,W, 79_60 ,15.9
Presbyterian,W, 74_66 ,2.4
Gardner Webb,W, 92_83 2OT,-0.1
Winthrop,L, 77_60 ,-5.3
Radford,L, 77_74 OT,0.5
Longwood,L, 71_63 ,-8.4
Hampton,W, 85_72 ,8.8
USC Upstate,L, 66_52 ,-0.8
High Point,W, 66_63 ,0.2
UNC Asheville,L, 79_75 ,-1.9
Campbell,L, 66_51 ,-13.4
Gardner Webb,L, 83_74 ,0.1
Presbyterian,L, 76_65 ,-3.7
Presbyterian,W, 81_64 ,11
Radford,L, 62_48 ,-1.6
