Opponent,Results,Score,PlusMinus
NJIT,W, 80_75 ,4.8
Clemson,L, 81_68 ,-2.8
Syracuse,L, 70_54 ,-5.9
Auburn,L, 91_62 ,-22.3
SUNY Cortland,W, 89_50 ,-
Cal St. Northridge,W, 64_56 ,1.9
Green Bay,W, 99_81 ,15.7
Siena,W, 72_62 ,3.5
Binghamton,W, 82_74 ,5.4
Niagara,L, 93_82 OT,2.7
Cornell,W, 66_58 ,-2.4
Cincinnati,W, 67_66 ,-1.9
Columbia,W, 89_71 ,10.6
American,W, 65_51 ,5.7
Army,W, 70_65 ,0.4
Loyola MD,W, 92_70 ,7.8
Navy,W, 70_63 ,3.1
Lafayette,L, 71_67 ,4.1
Boston University,W, 79_70 ,6.2
Bucknell,W, 80_65 ,3.7
American,W, 79_69 ,2.8
Lafayette,L, 80_78 ,-1.5
Holy Cross,W, 73_64 ,-1.1
Lehigh,W, 81_51 ,8.7
Navy,W, 67_60 ,2.3
Boston University,W, 79_63 ,2.2
Loyola MD,L, 84_80 ,-8.5
Lehigh,W, 70_67 ,0.8
Holy Cross,W, 90_60 ,12.9
Bucknell,L, 71_70 ,-5.4
Army,W, 91_65 ,11.4
Lehigh,W, 83_70 ,8.5
Lafayette,W, 89_64 ,16.3
Boston University,L, 64_61 ,1.4
