Opponent,Results,Score,PlusMinus
Indiana St.,W, 86_81 ,4
Charleston Southern,W, 90_61 ,10.7
Nebraska Omaha,W, 93_68 ,13.2
Georgia,W, 80_61 ,15
Virginia Tech,W, 89_62 ,10.8
Kansas,L, 90_84 OT,0
Houston Baptist,W, 99_68 ,5.2
Saint Mary's,W, 78_68 ,13.1
Drake,W, 78_47 ,7.4
North Texas,W, 71_58 ,11.3
Colorado,L, 78_76 OT,1.4
Grambling St.,W, 81_53 ,12.5
North Florida,W, 77_59 ,11.6
La Salle,W, 84_58 ,16.3
Saint Joseph's,W, 80_67 ,2.8
Massachusetts,W, 88_60 ,18.9
VCU,W, 79_65 ,6
Saint Louis,W, 78_76 OT,-4.8
St. Bonaventure,W, 86_60 ,11.9
Richmond,W, 87_79 ,8.1
Duquesne,W, 73_69 ,7.2
Fordham,W, 70_56 ,13.5
Saint Louis,W, 71_65 ,4.2
Rhode Island,W, 81_67 ,14.5
Massachusetts,W, 71_63 ,4.7
VCU,W, 66_61 ,4.4
Duquesne,W, 80_70 ,3.6
George Mason,W, 62_55 ,3.6
Davidson,W, 82_67 ,12.9
Rhode Island,W, 84_57 ,10.7
George Washington,W, 76_51 ,3.2
