Opponent,Results,Score,PlusMinus
FDU-Florham,W, 101_52 ,-
DePaul,L, 70_59 ,-1
Fordham,L, 53_50 ,-1.3
Army,L, 81_65 ,-8.6
Lafayette,L, 80_75 ,-5.4
Notre Dame,L, 91_66 ,-13.8
Quinnipiac,W, 78_77 ,8.6
Kentucky,L, 83_52 ,-14.7
Saint Peter's,L, 86_70 ,-7.2
Princeton,L, 80_65 ,-5.8
La Salle,L, 66_58 ,-0.6
St. Francis NY,L, 79_63 ,-4.4
Bryant,W, 77_73 ,1.3
Sacred Heart,L, 77_75 ,-2.5
LIU Brooklyn,L, 84_70 ,-11.1
St. Francis PA,L, 100_85 ,-6.7
Central Connecticut,W, 83_60 ,9.3
Merrimack,L, 74_71 2OT,-1.9
Sacred Heart,L, 77_60 ,-10
Wagner,W, 68_63 ,-0.9
Mount St. Mary's,W, 85_75 ,17.9
Merrimack,L, 57_53 ,-2.1
Wagner,W, 106_73 ,10.7
Robert Morris,W, 72_71 ,-2.2
Central Connecticut,L, 76_75 ,-9.2
LIU Brooklyn,L, 86_81 ,2.7
Robert Morris,W, 75_70 ,-0.3
Bryant,W, 74_72 ,-4.6
Mount St. Mary's,W, 83_77 ,5.5
LIU Brooklyn,L, 73_72 ,-7.2
