Opponent,Results,Score,PlusMinus
Oregon,L, 71_57 ,-9
Winthrop,W, 77_74 ,-1.9
San Diego,L, 72_66 OT,-3.9
Cal State-San Bernardino,W, 92_47 ,-
Saint Mary's,L, 68_58 ,-5.9
Cal St. Northridge,L, 73_72 ,3.3
UNLV,L, 81_80 2OT,0.8
Utah St.,L, 77_70 OT,0.1
California,L, 69_63 ,-2.1
Cal Poly,W, 62_37 ,7.5
IUPUI,W, 95_64 ,17.2
San Francisco,L, 71_69 ,-1.7
UC Riverside,L, 60_57 ,7
San Diego St.,L, 61_52 ,-5.3
San Jose St.,W, 79_64 ,2.9
New Mexico,L, 78_64 ,-2.9
San Diego St.,L, 64_55 ,-3.4
Wyoming,W, 65_50 ,11.1
Colorado St.,L, 86_68 ,-8
Boise St.,L, 87_53 ,-8.2
Air Force,W, 79_68 ,2.6
New Mexico,W, 82_77 ,-6.7
Colorado St.,L, 80_70 ,-9.5
UNLV,L, 68_67 ,2.5
San Jose St.,W, 84_78 OT,5.5
Utah St.,L, 71_59 ,-6.8
Air Force,W, 71_62 ,5.6
Nevada,L, 78_76 ,2.4
Wyoming,W, 63_55 ,-1.7
Air Force,L, 77_70 ,-5
