Opponent,Results,Score,PlusMinus
Western Carolina,W, 91_72 ,1.5
The Citadel,W, 95_86 ,5.7
Delaware St.,W, 100_66 ,15.5
Georgia Tech,W, 82_78 ,5.2
Dayton,L, 80_61 ,-15
Michigan St.,L, 93_85 ,-11.5
Chaminade,W, 80_77 ,-
North Carolina Central,W, 95_59 ,13.5
Arizona St.,L, 79_59 ,-6.7
SMU,W, 87_85 2OT,-0.8
Georgia Southern,W, 73_64 ,0.9
Austin Peay,W, 78_48 ,12
Memphis,W, 65_62 ,-0.1
Kentucky,L, 78_69 ,0.7
Auburn,L, 82_60 ,-8.1
Tennessee,W, 80_63 ,12.9
Mississippi St.,L, 91_59 ,-8.7
Kentucky,L, 89_79 ,-6.8
Mississippi,L, 70_60 ,-4.7
Missouri,L, 72_69 ,7.2
Texas A&M,W, 63_48 ,3.5
Florida,L, 81_75 ,4.7
Alabama,L, 105_102 OT,-0.7
South Carolina,L, 75_59 ,-14.9
Texas A&M,L, 74_69 ,2.7
Auburn,W, 65_55 ,4.9
Vanderbilt,W, 80_78 ,-4.6
South Carolina,L, 94_90 OT,-0.1
Arkansas,W, 99_89 ,8.4
Florida,L, 68_54 ,1.8
LSU,L, 94_64 ,-11.2
Mississippi,W, 81_63 ,10.2
