Opponent,Results,Score,PlusMinus
William & Mary,L, 70_56 ,-11.4
Wofford,L, 89_61 ,-4.3
Boston College,L, 59_33 ,-12.8
Belmont,L, 90_51 ,-20.3
Saint Louis,L, 67_55 ,-7.8
Eastern Washington,L, 90_74 ,-8.9
Greensboro,W, 90_73 ,-
North Florida,L, 93_70 ,-10.5
Elon,W, 70_66 OT,-4.1
Florida Atlantic,L, 81_64 ,-6.9
Valparaiso,L, 87_72 ,-2.7
Belmont Abbey,W, 92_66 ,-
Texas,L, 89_58 ,-11.6
Radford,L, 73_62 ,-4.1
Winthrop,L, 79_57 ,-7.6
Presbyterian,L, 77_62 ,-4
UNC Asheville,W, 68_66 ,5.6
Charleston Southern,L, 79_60 ,-15.9
USC Upstate,W, 70_62 ,2.9
Gardner Webb,L, 79_76 OT,2.8
Longwood,L, 72_62 ,-3.1
Campbell,W, 62_57 ,-7.9
Hampton,W, 88_85 ,-0.1
Radford,L, 81_70 ,-15.7
Gardner Webb,L, 86_55 ,-16.8
Charleston Southern,L, 66_63 ,-0.2
USC Upstate,W, 62_54 ,-1
Presbyterian,W, 82_70 ,0.9
Longwood,L, 57_54 ,-1.1
UNC Asheville,L, 80_76 ,-4.9
Winthrop,L, 84_76 ,-4
USC Upstate,L, 69_59 ,-11.9
