Opponent,Results,Score,PlusMinus
SMU,L, 74_65 ,-9
Brescia,W, 125_55 ,-
VCU,L, 93_65 ,-18.7
Purdue,L, 81_49 ,-20.4
Chicago St.,W, 71_62 ,4.5
Chattanooga,L, 63_60 ,0.1
George Mason,L, 67_60 ,-1.5
Alabama A&M,L, 67_62 OT,2.5
Troy,L, 60_55 ,-0.2
Evansville,W, 85_59 ,14.7
Delaware St.,W, 92_80 ,9.5
Tennessee,L, 75_53 ,-6.9
Carver,W, 120_56 ,-
Morehead St.,W, 76_72 ,4.5
Eastern Kentucky,W, 80_71 ,6
Murray St.,L, 72_68 ,-2.8
Austin Peay,L, 71_67 ,8.4
Eastern Illinois,L, 70_69 ,-4.9
SIU Edwardsville,W, 64_56 ,3.9
Eastern Kentucky,L, 81_77 ,-6.4
Morehead St.,W, 72_51 ,14.7
Tennessee St.,L, 72_62 ,-0.1
Belmont,L, 78_64 ,-5.9
Southeast Missouri St.,L, 76_72 ,-8.8
Tennessee Martin,W, 75_61 ,9
Tennessee Tech,L, 75_74 ,-0.2
Belmont,L, 101_84 ,-9.8
Southeast Missouri St.,W, 65_58 ,2.9
Tennessee Martin,W, 72_58 ,7.7
Tennessee St.,L, 65_55 ,-11.5
Tennessee Tech,W, 75_71 ,-0.1
Eastern Illinois,L, 67_61 ,-5.4
