Opponent,Results,Score,PlusMinus
Creighton,L, 81_55 ,-12.8
Drake,L, 86_55 ,-16
Mercer,L, 74_62 ,-8.9
Monmouth,L, 71_40 ,-16.8
Iona,L, 75_52 ,-16
Elon,L, 70_46 ,-1.1
UNC Greensboro,L, 72_54 ,-5.3
FIU,L, 84_81 ,-9.7
Gardner Webb,W, 85_61 ,4.4
Murray St.,L, 74_38 ,-21.8
Belmont,L, 83_44 ,-12
Wofford,L, 83_70 ,-5.4
Iowa,L, 93_51 ,-16.4
North Florida,L, 76_57 ,-9.6
Stetson,L, 57_54 ,-1.9
Lipscomb,L, 85_73 ,-9.7
Florida Gulf Coast,L, 73_51 ,-17.2
NJIT,L, 66_48 ,-9.5
North Alabama,L, 78_58 ,-18.2
Jacksonville,L, 83_64 ,-11
Liberty,L, 83_45 ,-11.6
North Florida,L, 86_45 ,-24.3
Lipscomb,L, 72_66 ,-0.6
Florida Gulf Coast,L, 70_58 ,-1.4
Stetson,L, 59_42 ,-8.1
North Alabama,L, 65_46 ,-13.9
Jacksonville,L, 69_55 ,-12.6
Liberty,L, 76_52 ,-8.8
NJIT,L, 76_55 ,-15.1
