Opponent,Results,Score,PlusMinus
Bowling Green,W, 88_79 ,7.4
VCU,L, 84_82 ,-3.2
Nicholls St.,W, 75_65 ,2.4
UMBC,W, 77_50 ,7.8
Utah St.,L, 80_78 ,9.4
Rhode Island,W, 96_83 ,4.2
Missouri St.,W, 73_58 ,6.4
New Orleans,W, 90_54 ,5.6
Northwestern St.,W, 109_59 ,14.6
East Tennessee St.,L, 74_63 ,-6.9
USC,L, 70_68 ,2.1
Liberty,W, 74_57 ,5
Tennessee,W, 78_64 ,1.5
Arkansas,W, 79_77 ,-0.6
Mississippi St.,W, 60_59 ,2
Texas A&M,W, 89_85 OT,5
Mississippi,W, 80_76 ,-0.5
Florida,W, 84_82 ,0
Texas,W, 69_67 ,6.9
Alabama,W, 90_76 ,10
Mississippi,W, 73_63 ,12.5
Vanderbilt,L, 99_90 ,-3.5
Auburn,L, 91_90 OT,6
Missouri,W, 82_78 ,-4.3
Alabama,L, 88_82 ,-6.9
Kentucky,L, 79_76 ,-3.4
South Carolina,W, 86_80 ,7.5
Florida,L, 81_66 ,-11.4
Texas A&M,W, 64_50 ,7.2
Arkansas,L, 99_90 ,-12.3
Georgia,W, 94_64 ,11.2
