Opponent,Results,Score,PlusMinus
Monmouth,L, 66_62 ,-7.3
Albany,W, 74_70 ,6.8
Cairn,W, 80_43 ,-
Virginia Tech,L, 79_53 ,-5.3
Misericordia,W, 87_68 ,-
Drake,L, 74_58 ,-6.6
Saint Mary's,L, 77_66 ,-5.8
Columbia,L, 68_64 ,-0.2
St. Francis PA,L, 77_69 ,2.9
Yale,L, 78_65 ,-4.9
Auburn,L, 74_51 ,-3.7
Princeton,L, 71_62 ,-7.7
Navy,L, 64_58 ,0.1
Loyola MD,W, 78_71 ,-1.9
Boston University,L, 84_67 ,-4.7
American,W, 82_73 ,8.2
Navy,L, 88_83 ,-5.3
Bucknell,L, 72_56 ,-7.7
Holy Cross,L, 96_95 OT,5.7
Lafayette,L, 74_56 ,-8.9
American,L, 77_56 ,-4.9
Army,L, 80_79 ,1.2
Colgate,L, 81_51 ,-8.7
Lafayette,W, 62_59 ,3.9
Holy Cross,W, 89_82 ,5
Army,L, 79_66 ,-6.7
Colgate,L, 70_67 ,-0.8
Bucknell,W, 69_60 ,8.6
Boston University,W, 57_55 OT,-0.3
Loyola MD,W, 74_71 ,7
Loyola MD,W, 78_75 ,3.8
Colgate,L, 83_70 ,-8.5
