Opponent,Results,Score,PlusMinus
Loyola MD,W, 88_53 ,21
Purdue,W, 65_55 ,-5.4
Wisconsin,L, 77_61 ,-5.9
Robert Morris,W, 66_62 ,3.3
Davidson,W, 73_63 ,-0.9
USC,W, 101_79 ,13.9
Maryland,L, 84_63 ,-11.8
Jacksonville,W, 75_56 ,14.6
Kansas St.,W, 73_65 ,6.1
Grambling St.,W, 93_72 ,10.4
North Dakota St.,W, 82_68 ,4.3
Central Arkansas,W, 106_54 ,26.8
Creighton,L, 92_75 ,-10.6
Villanova,W, 71_60 ,11.1
Providence,L, 81_80 OT,-2.4
Seton Hall,L, 69_55 ,-1.8
Xavier,W, 85_65 ,10.8
Georgetown,W, 84_80 ,2.2
St. John's,W, 82_68 ,3.3
Butler,L, 89_85 OT,2.7
Xavier,W, 84_82 2OT,-0.5
DePaul,W, 76_72 ,-3.1
Butler,W, 76_57 ,6.7
Villanova,L, 72_71 ,-9.8
Creighton,L, 73_65 ,-4.4
Providence,L, 84_72 ,-10.7
Georgetown,W, 93_72 ,13.6
Seton Hall,L, 88_79 ,-11.2
DePaul,L, 69_68 ,2.6
St. John's,L, 88_86 ,-9.5
