Opponent,Results,Score,PlusMinus
UMass Lowell,W, 79_64 ,6.2
Fairfield,W, 62_60 ,-0.4
Northeastern,W, 80_71 ,0.5
Central Connecticut,W, 89_43 ,14.7
Rider,W, 82_72 ,9.8
Virginia,L, 58_46 ,-8.3
St. John's,L, 78_63 ,-1.2
Rutgers,L, 82_57 ,-6.1
South Carolina,L, 84_80 ,-0.1
Harvard,L, 89_55 ,-13.9
Yale,L, 83_80 OT,0.5
Maine,W, 74_53 ,11.3
Akron,L, 85_79 ,-6
Saint Louis,L, 83_80 OT,-0.8
La Salle,W, 77_69 ,3.6
Dayton,L, 88_60 ,-18.9
St. Bonaventure,L, 74_61 ,-10
George Washington,L, 75_51 ,-9.5
George Mason,L, 73_63 ,-1.5
Duquesne,W, 73_64 ,2.6
Saint Joseph's,W, 91_76 ,4.5
Davidson,L, 85_50 ,-19.6
Rhode Island,L, 73_67 ,-6.9
George Mason,W, 69_67 ,2.3
Dayton,L, 71_63 ,-4.7
Saint Louis,W, 67_63 ,-4.8
Fordham,W, 57_49 ,1.3
VCU,W, 60_52 ,-0.8
Richmond,L, 95_71 ,-16.1
La Salle,W, 75_64 ,5.5
Rhode Island,L, 64_63 ,-7.3
