Opponent,Results,Score,PlusMinus
Maryville (TN),W, 119_61 ,-
Lipscomb,W, 73_70 ,2.9
Mars Hill,W, 96_82 ,-
Coastal Carolina,L, 93_72 ,-6.9
Villanova,L, 98_69 ,-19.9
Tulane,L, 86_74 ,-13.3
Ohio,L, 75_63 ,-10.1
Belmont,L, 71_59 ,-5.7
Columbia Int'l,W, 86_38 ,-
Murray St.,L, 85_52 ,-20.7
Mississippi,L, 82_64 ,-13.5
St. Bonaventure,L, 66_65 ,1.3
Rhode Island,L, 89_62 ,-17.5
Old Dominion,L, 70_60 ,-12.8
Charlotte,L, 68_62 ,-9
Marshall,L, 79_75 ,-5.7
Western Kentucky,L, 69_53 ,-13
Florida Atlantic,L, 97_94 OT,-0.1
FIU,L, 83_69 ,-9.4
Louisiana Tech,L, 80_73 ,-14.3
Southern Miss,W, 65_63 ,0.7
UTEP,L, 67_66 ,1.2
UTSA,W, 83_80 ,4.3
North Texas,L, 75_70 ,-7.3
Rice,L, 91_83 ,-8.7
UAB,L, 83_72 ,-0.4
UAB,L, 79_66 ,-9.6
Southern Miss,W, 61_53 ,3.5
Rice,L, 77_66 ,1
UTEP,L, 60_56 ,-2.8
Southern Miss,W, 65_62 OT,-1.9
